_id, propertyAvail, locationName, photoUrl, price, rating, reviewCount
39,Private room • West Garfield,"Synergistic Penthouse in Georgiannahaven",https://s3.amazonaws.com/similar-homes-module/city/city132.jpg,1803,4,489
40,Private room • North Gavin,"B2C Yurt in Port Dorris",https://s3.amazonaws.com/similar-homes-module/city/city714.jpg,1980,3,353
41,Entire home • Port Camdenmouth,"Revolutionary Apartment in Pollichton",https://s3.amazonaws.com/similar-homes-module/city/city210.jpg,802,5,536
42,Entire home • Tristianshire,"Dynamic Home in New Jalenmouth",https://s3.amazonaws.com/similar-homes-module/city/city571.jpg,324,4.5,533
43,Hotel Room • Curtfurt,"Proactive Condo in Lake Rachael",https://s3.amazonaws.com/similar-homes-module/city/city984.jpg,1930,4.5,709
44,Hotel Room • Jailynstad,"B2C Yurt in Koeppstad",https://s3.amazonaws.com/similar-homes-module/city/city783.jpg,557,3,656
45,Private room • West Edburgh,"Plug-and-play Chalet in Zechariahberg",https://s3.amazonaws.com/similar-homes-module/city/city448.jpg,474,4,544
46,Private room • East Loganbury,"Enterprise House in Dorcasmouth",https://s3.amazonaws.com/similar-homes-module/city/city22.jpg,1624,2.5,239
47,Entire home • Christelletown,"Cross-platform Terrace in Yesseniashire",https://s3.amazonaws.com/similar-homes-module/city/city660.jpg,160,5,212
48,Private room • Lake Asiahaven,"Strategic Penthouse in New Bryana",https://s3.amazonaws.com/similar-homes-module/city/city77.jpg,1467,4.5,134
49,Entire home • Micahchester,"Proactive Cabin in Zellamouth",https://s3.amazonaws.com/similar-homes-module/city/city719.jpg,1956,4.5,608
50,Entire home • Lake Harrisonburgh,"Transparent Vacation-House in New Johnnie",https://s3.amazonaws.com/similar-homes-module/city/city591.jpg,1390,3,745
51,Entire home • West Bill,"Back-end Terrace in Graysonberg",https://s3.amazonaws.com/similar-homes-module/city/city33.jpg,312,4,43
52,Hotel Room • Adalineborough,"Intuitive Condo in West Brainport",https://s3.amazonaws.com/similar-homes-module/city/city695.jpg,542,5,643
53,Hotel Room • Port Katelinville,"Bricks-and-clicks Vacation-House in Lake Chaya",https://s3.amazonaws.com/similar-homes-module/city/city923.jpg,1427,2.5,342
54,Hotel Room • Kreigertown,"Compelling Villa in East Evans",https://s3.amazonaws.com/similar-homes-module/city/city474.jpg,292,3.5,538
55,Private room • Amyaberg,"Real-time Vacation-House in West Kacey",https://s3.amazonaws.com/similar-homes-module/city/city182.jpg,295,4.5,650
56,Entire home • East Keeley,"Enterprise Apartment in Pattietown",https://s3.amazonaws.com/similar-homes-module/city/city510.jpg,1485,5,755
57,Entire home • South Marilie,"Killer Bungaloo in East Easter",https://s3.amazonaws.com/similar-homes-module/city/city226.jpg,466,3.5,177
58,Hotel Room • North Georgiana,"One-to-one Studio in East Sylvestermouth",https://s3.amazonaws.com/similar-homes-module/city/city463.jpg,1745,5,556
59,Hotel Room • East Herminia,"Viral Chalet in Grahamhaven",https://s3.amazonaws.com/similar-homes-module/city/city431.jpg,1211,3.5,230
60,Entire home • Tiachester,"Open-source Studio in East Melvinaport",https://s3.amazonaws.com/similar-homes-module/city/city476.jpg,1364,4.5,21
61,Private room • Lincolnside,"Front-end Suite in Gislasonfort",https://s3.amazonaws.com/similar-homes-module/city/city870.jpg,397,5,509
62,Entire home • New Tillmanmouth,"Innovative House in East Gayleton",https://s3.amazonaws.com/similar-homes-module/city/city331.jpg,1217,2.5,646
63,Hotel Room • South Lesley,"Efficient Apartment in Herzogmouth",https://s3.amazonaws.com/similar-homes-module/city/city199.jpg,1256,3,412
64,Hotel Room • Lake Sheilatown,"Distributed Yurt in Port Lynn",https://s3.amazonaws.com/similar-homes-module/city/city366.jpg,1518,3,199
65,Private room • Rozellafurt,"Viral Terrace in Reynoldsland",https://s3.amazonaws.com/similar-homes-module/city/city289.jpg,1805,5,579
66,Hotel Room • Dougland,"24/365 Town-Home in Monafort",https://s3.amazonaws.com/similar-homes-module/city/city72.jpg,1004,3,250
67,Entire home • East Celine,"E-business Cabin in Lake Justice",https://s3.amazonaws.com/similar-homes-module/city/city194.jpg,252,2.5,573
68,Private room • North Dereck,"Global Duplex in South Maureenview",https://s3.amazonaws.com/similar-homes-module/city/city552.jpg,1034,3,418
69,Hotel Room • West Juneshire,"Granular Condo in East Dora",https://s3.amazonaws.com/similar-homes-module/city/city757.jpg,1232,3.5,200
70,Private room • Keeblerville,"World-class Cabin in Louisafort",https://s3.amazonaws.com/similar-homes-module/city/city174.jpg,824,3,164
71,Private room • Xzavierborough,"Visionary Loft in North Joel",https://s3.amazonaws.com/similar-homes-module/city/city862.jpg,92,5,450
72,Private room • New Neva,"Revolutionary Loft in Ewellmouth",https://s3.amazonaws.com/similar-homes-module/city/city791.jpg,1213,5,144
73,Entire home • Tyrellport,"24/365 Terrace in Felicityborough",https://s3.amazonaws.com/similar-homes-module/city/city2.jpg,1418,3.5,508
74,Hotel Room • Georgestad,"Cross-platform Home in Port Tracehaven",https://s3.amazonaws.com/similar-homes-module/city/city583.jpg,1467,5,412
75,Private room • West Jaylinberg,"Robust Duplex in Lake Ashleyhaven",https://s3.amazonaws.com/similar-homes-module/city/city989.jpg,495,5,386
76,Entire home • Schroedershire,"Web-enabled Cabin in Issachaven",https://s3.amazonaws.com/similar-homes-module/city/city781.jpg,625,5,573
77,Entire home • Kalliefort,"Cross-platform Suite in North Federicoberg",https://s3.amazonaws.com/similar-homes-module/city/city52.jpg,431,3,31
78,Private room • West Gillian,"E-business Cabin in West Audra",https://s3.amazonaws.com/similar-homes-module/city/city391.jpg,1804,5,537
79,Entire home • Angelicaburgh,"B2C Duplex in North Glennie",https://s3.amazonaws.com/similar-homes-module/city/city584.jpg,633,3,103
80,Hotel Room • Fritschfort,"Killer Yurt in West Fordland",https://s3.amazonaws.com/similar-homes-module/city/city740.jpg,1875,2.5,387
81,Entire home • Lenoraburgh,"Web-enabled Yurt in Sabinaport",https://s3.amazonaws.com/similar-homes-module/city/city914.jpg,1388,2.5,169
82,Entire home • Champlinstad,"Proactive Terrace in Christianville",https://s3.amazonaws.com/similar-homes-module/city/city763.jpg,300,3,397
83,Entire home • Devynberg,"Clicks-and-mortar Yurt in New Seth",https://s3.amazonaws.com/similar-homes-module/city/city809.jpg,826,2.5,623
84,Private room • Port Geo,"Leading-edge Loft in Lake Sterling",https://s3.amazonaws.com/similar-homes-module/city/city572.jpg,1677,4,264
85,Private room • Kirlinside,"Innovative House in Lake Carrollburgh",https://s3.amazonaws.com/similar-homes-module/city/city990.jpg,1679,3,546
86,Hotel Room • Lake Carolyn,"Vertical Vacation-House in Verniemouth",https://s3.amazonaws.com/similar-homes-module/city/city472.jpg,1467,3.5,42
87,Private room • Turnerport,"Customized Chalet in Waelchimouth",https://s3.amazonaws.com/similar-homes-module/city/city490.jpg,1466,3.5,476
88,Entire home • Cummeratachester,"Back-end Home in Wittingberg",https://s3.amazonaws.com/similar-homes-module/city/city560.jpg,722,2.5,126
89,Entire home • Bernhardshire,"Dynamic Vacation-House in Spinkaside",https://s3.amazonaws.com/similar-homes-module/city/city111.jpg,1701,3.5,566
90,Private room • South Jakob,"Mission-critical Terrace in Zellastad",https://s3.amazonaws.com/similar-homes-module/city/city592.jpg,1167,3.5,428
91,Entire home • North Kurt,"Integrated Duplex in South Keely",https://s3.amazonaws.com/similar-homes-module/city/city364.jpg,297,2.5,542
92,Hotel Room • Haleyhaven,"Synergistic Chalet in West Marleyfort",https://s3.amazonaws.com/similar-homes-module/city/city778.jpg,1416,3.5,75
93,Entire home • Roxanneport,"Sexy Penthouse in West Sebastian",https://s3.amazonaws.com/similar-homes-module/city/city94.jpg,1166,3,325
94,Private room • South Isabella,"Intuitive Town-Home in Fosterborough",https://s3.amazonaws.com/similar-homes-module/city/city307.jpg,1016,3,30
95,Entire home • North Candida,"Robust Penthouse in Port Rociofurt",https://s3.amazonaws.com/similar-homes-module/city/city963.jpg,1216,5,200
96,Private room • Rippinton,"Plug-and-play Yurt in Anissachester",https://s3.amazonaws.com/similar-homes-module/city/city320.jpg,628,3.5,718
97,Entire home • East Joelle,"World-class Chalet in New Karianne",https://s3.amazonaws.com/similar-homes-module/city/city269.jpg,1356,3,363
98,Hotel Room • Batzville,"Best-of-breed Chalet in Pollichview",https://s3.amazonaws.com/similar-homes-module/city/city239.jpg,1586,4,114
99,Hotel Room • Ericamouth,"Bleeding-edge Studio in Koelpinview",https://s3.amazonaws.com/similar-homes-module/city/city261.jpg,1469,4.5,203
100,Private room • Berneiceville,"Intuitive Terrace in Norrisside",https://s3.amazonaws.com/similar-homes-module/city/city456.jpg,1002,3.5,22
101,Entire home • Enosbury,"Extensible Bungaloo in Okunevaberg",https://s3.amazonaws.com/similar-homes-module/city/city632.jpg,295,4,666
102,Hotel Room • Dominiquechester,"Cutting-edge Chalet in Watersfort",https://s3.amazonaws.com/similar-homes-module/city/city666.jpg,1625,4.5,718
103,Private room • Abbottfurt,"Synergistic Penthouse in Cloydbury",https://s3.amazonaws.com/similar-homes-module/city/city743.jpg,768,3.5,540
104,Private room • South Dayanaberg,"Revolutionary Penthouse in Kulasville",https://s3.amazonaws.com/similar-homes-module/city/city94.jpg,625,2.5,340
105,Private room • Port Carson,"E-business Condo in Isaifort",https://s3.amazonaws.com/similar-homes-module/city/city610.jpg,668,4.5,333
106,Private room • East Nedfort,"End-to-end Penthouse in Jerdeside",https://s3.amazonaws.com/similar-homes-module/city/city300.jpg,1765,4.5,715
107,Entire home • Bednarstad,"Impactful Apartment in Rippinview",https://s3.amazonaws.com/similar-homes-module/city/city771.jpg,1937,2.5,45
108,Private room • Rafaelatown,"Collaborative Suite in West Borismouth",https://s3.amazonaws.com/similar-homes-module/city/city108.jpg,1785,3,44
109,Entire home • East Toni,"Leading-edge Villa in Gloverbury",https://s3.amazonaws.com/similar-homes-module/city/city41.jpg,1588,3,462
110,Hotel Room • New Brendontown,"Magnetic Apartment in Destinyberg",https://s3.amazonaws.com/similar-homes-module/city/city571.jpg,364,5,454
111,Private room • Lake Dexter,"Interactive Cabin in Dickinsonhaven",https://s3.amazonaws.com/similar-homes-module/city/city610.jpg,1675,2.5,139
112,Entire home • Wehnermouth,"Plug-and-play Yurt in West Margotstad",https://s3.amazonaws.com/similar-homes-module/city/city245.jpg,1135,2.5,200
113,Hotel Room • Jenkinstown,"Sexy Terrace in Brakusville",https://s3.amazonaws.com/similar-homes-module/city/city431.jpg,252,3.5,32
114,Private room • Pourosside,"Sexy Studio in Elveraport",https://s3.amazonaws.com/similar-homes-module/city/city379.jpg,607,5,213
115,Entire home • Penelopefurt,"User-centric Town-Home in East Jacklyn",https://s3.amazonaws.com/similar-homes-module/city/city56.jpg,647,2.5,585
116,Entire home • New Lucyborough,"One-to-one Yurt in O'Haraview",https://s3.amazonaws.com/similar-homes-module/city/city121.jpg,1014,5,193
117,Entire home • Anitastad,"Turn-key Penthouse in Lake Lukas",https://s3.amazonaws.com/similar-homes-module/city/city836.jpg,1818,4.5,86
118,Private room • Reneport,"Holistic Loft in Abigailton",https://s3.amazonaws.com/similar-homes-module/city/city861.jpg,985,4.5,53
119,Entire home • Yundtview,"World-class Vacation-House in Uptonland",https://s3.amazonaws.com/similar-homes-module/city/city971.jpg,641,3.5,764
120,Private room • East Maria,"Virtual Villa in West Angelina",https://s3.amazonaws.com/similar-homes-module/city/city589.jpg,818,3,722
121,Hotel Room • Kemmermouth,"Bricks-and-clicks Villa in North Ubaldomouth",https://s3.amazonaws.com/similar-homes-module/city/city706.jpg,1489,4,712
122,Hotel Room • South Abigayle,"Cross-platform Home in Flavioberg",https://s3.amazonaws.com/similar-homes-module/city/city566.jpg,657,2.5,453
123,Hotel Room • Noemiside,"Dynamic Suite in Schimmelmouth",https://s3.amazonaws.com/similar-homes-module/city/city875.jpg,1791,4.5,17
124,Hotel Room • East Hattie,"Robust Condo in East Freedamouth",https://s3.amazonaws.com/similar-homes-module/city/city693.jpg,929,3.5,724
125,Entire home • South Lucie,"Dot-com Penthouse in Simshire",https://s3.amazonaws.com/similar-homes-module/city/city172.jpg,249,3.5,242
126,Entire home • Verliemouth,"Visionary Condo in Stoltenbergland",https://s3.amazonaws.com/similar-homes-module/city/city507.jpg,1664,3,220
127,Private room • Mohammedmouth,"Clicks-and-mortar Yurt in East Misaelshire",https://s3.amazonaws.com/similar-homes-module/city/city378.jpg,623,3.5,25
128,Hotel Room • East Cassandra,"Magnetic Home in Ratkeborough",https://s3.amazonaws.com/similar-homes-module/city/city245.jpg,1664,5,409
129,Entire home • Lake Ginoshire,"Strategic Terrace in South Aniyah",https://s3.amazonaws.com/similar-homes-module/city/city898.jpg,640,3.5,486
130,Private room • Robertsmouth,"Viral Condo in New Brayanstad",https://s3.amazonaws.com/similar-homes-module/city/city881.jpg,227,5,129
131,Private room • North Mariamberg,"Sticky Apartment in Shieldsshire",https://s3.amazonaws.com/similar-homes-module/city/city220.jpg,310,3.5,201
132,Entire home • Lake Virginieshire,"Cross-platform Condo in Sigridfurt",https://s3.amazonaws.com/similar-homes-module/city/city619.jpg,1964,5,393
133,Private room • Kianport,"Global Duplex in Lubowitzmouth",https://s3.amazonaws.com/similar-homes-module/city/city76.jpg,757,4.5,300
134,Entire home • Schoenchester,"Compelling Bungaloo in Finntown",https://s3.amazonaws.com/similar-homes-module/city/city275.jpg,1610,4.5,635
135,Entire home • Port Patsyborough,"24/7 Studio in New Saul",https://s3.amazonaws.com/similar-homes-module/city/city478.jpg,1509,3,309
136,Entire home • Benjaminland,"B2B Bungaloo in Raquelmouth",https://s3.amazonaws.com/similar-homes-module/city/city902.jpg,1780,5,280
137,Private room • Lake Babyville,"Integrated Studio in Easterstad",https://s3.amazonaws.com/similar-homes-module/city/city339.jpg,1415,3,273
138,Entire home • Greysonstad,"End-to-end Bungaloo in East Dominique",https://s3.amazonaws.com/similar-homes-module/city/city138.jpg,1408,2.5,315
139,Entire home • South Erikaville,"24/7 Town-Home in Katherynside",https://s3.amazonaws.com/similar-homes-module/city/city550.jpg,982,3.5,241
140,Hotel Room • North Ubaldoshire,"Front-end Duplex in Kuvalisfurt",https://s3.amazonaws.com/similar-homes-module/city/city898.jpg,1399,3,235
141,Entire home • West Camronland,"Customized Yurt in Boylemouth",https://s3.amazonaws.com/similar-homes-module/city/city131.jpg,680,4.5,330
142,Hotel Room • Lake Vladimir,"Best-of-breed Bungaloo in Schambergershire",https://s3.amazonaws.com/similar-homes-module/city/city236.jpg,176,3.5,25
143,Private room • Flohaven,"Viral Home in Port Brain",https://s3.amazonaws.com/similar-homes-module/city/city379.jpg,421,4.5,725
144,Hotel Room • West Carletonburgh,"Seamless Duplex in Port Zackaryfort",https://s3.amazonaws.com/similar-homes-module/city/city902.jpg,1405,4,129
145,Private room • Tonyport,"Cross-media Penthouse in Johnstonchester",https://s3.amazonaws.com/similar-homes-module/city/city259.jpg,1746,4,384
146,Entire home • Port Elwyntown,"Out-of-the-box Town-Home in Crooksstad",https://s3.amazonaws.com/similar-homes-module/city/city646.jpg,1716,4.5,340
147,Private room • Paucekville,"Enterprise Cabin in Shannyfurt",https://s3.amazonaws.com/similar-homes-module/city/city26.jpg,812,3,745
148,Private room • North Maxieton,"Revolutionary Suite in South Nicholaus",https://s3.amazonaws.com/similar-homes-module/city/city713.jpg,1010,4.5,223
149,Private room • Halvorsonhaven,"One-to-one Town-Home in Clayfurt",https://s3.amazonaws.com/similar-homes-module/city/city841.jpg,1371,3.5,575
150,Entire home • Boylechester,"Dynamic Bungaloo in West Jazmyn",https://s3.amazonaws.com/similar-homes-module/city/city399.jpg,808,3.5,143
151,Entire home • Lake Adrainville,"Holistic Condo in Kearafurt",https://s3.amazonaws.com/similar-homes-module/city/city628.jpg,184,5,135
152,Hotel Room • Kozeyfurt,"End-to-end Bungaloo in North Erynport",https://s3.amazonaws.com/similar-homes-module/city/city854.jpg,1266,4.5,399
153,Private room • Kiarastad,"Granular Terrace in East Ludwigton",https://s3.amazonaws.com/similar-homes-module/city/city646.jpg,652,4,228
154,Hotel Room • Abshiremouth,"Strategic Cabin in Bernieceton",https://s3.amazonaws.com/similar-homes-module/city/city943.jpg,1847,3.5,491
155,Entire home • North Freidaview,"Efficient Penthouse in Maudieview",https://s3.amazonaws.com/similar-homes-module/city/city506.jpg,633,3.5,197
156,Private room • New David,"Cutting-edge Apartment in Huldaville",https://s3.amazonaws.com/similar-homes-module/city/city125.jpg,1023,3.5,327
157,Hotel Room • West Velda,"Killer Loft in Parisianshire",https://s3.amazonaws.com/similar-homes-module/city/city567.jpg,1951,4,275
158,Private room • South Rebecca,"Clicks-and-mortar Studio in Ullrichland",https://s3.amazonaws.com/similar-homes-module/city/city767.jpg,303,4.5,247
159,Private room • Reicherttown,"Cutting-edge Home in Port Abelardomouth",https://s3.amazonaws.com/similar-homes-module/city/city687.jpg,1231,5,501
160,Hotel Room • South Zellaberg,"Proactive Condo in West Jaquelinemouth",https://s3.amazonaws.com/similar-homes-module/city/city16.jpg,222,4.5,345
161,Hotel Room • Schambergerside,"Interactive Studio in West Felicita",https://s3.amazonaws.com/similar-homes-module/city/city9.jpg,626,5,612
162,Hotel Room • Port Ruthie,"Transparent Vacation-House in New Steveborough",https://s3.amazonaws.com/similar-homes-module/city/city728.jpg,1392,3,392
163,Entire home • South Riverfurt,"Transparent Apartment in New Lawsonstad",https://s3.amazonaws.com/similar-homes-module/city/city301.jpg,1081,4.5,278
164,Private room • North Deshaun,"24/7 Villa in Christiansenborough",https://s3.amazonaws.com/similar-homes-module/city/city14.jpg,883,5,552
165,Hotel Room • Alleneside,"Synergistic House in Aufderharfort",https://s3.amazonaws.com/similar-homes-module/city/city903.jpg,1789,3,582
166,Hotel Room • North Kennediville,"24/365 Terrace in Orionmouth",https://s3.amazonaws.com/similar-homes-module/city/city278.jpg,1237,3.5,467
167,Private room • Hendersonborough,"Value-added Loft in Webermouth",https://s3.amazonaws.com/similar-homes-module/city/city134.jpg,717,4,149
168,Private room • Brandyntown,"Visionary Condo in South Marilieport",https://s3.amazonaws.com/similar-homes-module/city/city354.jpg,992,3.5,52
169,Hotel Room • Lake Efrain,"Proactive House in South Bria",https://s3.amazonaws.com/similar-homes-module/city/city1021.jpg,1060,5,711
170,Hotel Room • South Jaynebury,"Global Duplex in Rutherfordberg",https://s3.amazonaws.com/similar-homes-module/city/city219.jpg,1576,3.5,485
171,Hotel Room • South Danielaberg,"Visionary House in Pollichfort",https://s3.amazonaws.com/similar-homes-module/city/city406.jpg,153,2.5,622
172,Hotel Room • North Tryciafort,"Holistic Apartment in Kihnport",https://s3.amazonaws.com/similar-homes-module/city/city558.jpg,383,4,145
173,Entire home • VonRuedenmouth,"B2B Penthouse in Lednerport",https://s3.amazonaws.com/similar-homes-module/city/city507.jpg,315,2.5,252
174,Entire home • New Skye,"Integrated Terrace in Mauriceton",https://s3.amazonaws.com/similar-homes-module/city/city316.jpg,1236,5,750
175,Entire home • Dasiaton,"Revolutionary Villa in Lynchburgh",https://s3.amazonaws.com/similar-homes-module/city/city952.jpg,425,4,353
176,Entire home • Murrayhaven,"Turn-key Yurt in Port Sigridton",https://s3.amazonaws.com/similar-homes-module/city/city284.jpg,1134,5,48
177,Hotel Room • Helenaland,"Extensible Yurt in Lake Lisetteborough",https://s3.amazonaws.com/similar-homes-module/city/city695.jpg,1804,5,408
178,Hotel Room • Gregoriomouth,"Holistic Condo in Port Shadmouth",https://s3.amazonaws.com/similar-homes-module/city/city843.jpg,1375,5,114
179,Entire home • East Jaidamouth,"Strategic Penthouse in Craigberg",https://s3.amazonaws.com/similar-homes-module/city/city547.jpg,111,4.5,20
180,Hotel Room • Eldorachester,"Cross-platform Home in Bernhardland",https://s3.amazonaws.com/similar-homes-module/city/city124.jpg,1112,5,405
181,Private room • Raynorberg,"Wireless Cabin in Port Lindseyview",https://s3.amazonaws.com/similar-homes-module/city/city107.jpg,109,3,246
182,Private room • Hoegerport,"Next-generation Home in Tomasaside",https://s3.amazonaws.com/similar-homes-module/city/city85.jpg,434,4,645
183,Private room • West Adelle,"Front-end Home in Strackefurt",https://s3.amazonaws.com/similar-homes-module/city/city518.jpg,1477,3,252
184,Private room • Cummingsville,"Frictionless Cabin in Lake Charlieville",https://s3.amazonaws.com/similar-homes-module/city/city630.jpg,1032,4,660
185,Private room • East Emilside,"Leading-edge Bungaloo in Watsicafurt",https://s3.amazonaws.com/similar-homes-module/city/city565.jpg,1048,4.5,190
186,Private room • Daughertyland,"Out-of-the-box Penthouse in Lockmanmouth",https://s3.amazonaws.com/similar-homes-module/city/city765.jpg,1460,2.5,88
187,Entire home • Jerryfort,"Virtual Villa in West Rubenview",https://s3.amazonaws.com/similar-homes-module/city/city47.jpg,241,3.5,703
188,Private room • West Anna,"Value-added Bungaloo in Blockshire",https://s3.amazonaws.com/similar-homes-module/city/city980.jpg,293,4.5,519
189,Entire home • North Darlenetown,"Virtual Penthouse in North Kennedyton",https://s3.amazonaws.com/similar-homes-module/city/city251.jpg,1884,2.5,696
190,Entire home • Rohanfurt,"Leading-edge Loft in Nicolasbury",https://s3.amazonaws.com/similar-homes-module/city/city257.jpg,1529,3.5,231
191,Hotel Room • East Newell,"Bleeding-edge Villa in South Alessandra",https://s3.amazonaws.com/similar-homes-module/city/city425.jpg,1678,4,117
192,Private room • North Beulah,"Customized Suite in West Seamusfort",https://s3.amazonaws.com/similar-homes-module/city/city204.jpg,290,4.5,239
193,Entire home • Corwinmouth,"End-to-end Town-Home in North Jaleelhaven",https://s3.amazonaws.com/similar-homes-module/city/city390.jpg,927,5,342
194,Private room • Heaneyborough,"Best-of-breed Suite in South Ethylport",https://s3.amazonaws.com/similar-homes-module/city/city983.jpg,1482,3,390
195,Entire home • South Malachistad,"Wireless Penthouse in East Deven",https://s3.amazonaws.com/similar-homes-module/city/city489.jpg,1852,3,144
196,Hotel Room • West Willow,"Frictionless House in Mayerfurt",https://s3.amazonaws.com/similar-homes-module/city/city1026.jpg,250,2.5,555
197,Hotel Room • Hagenesville,"Dynamic Condo in Shannychester",https://s3.amazonaws.com/similar-homes-module/city/city964.jpg,1661,4,260
198,Entire home • North Marilyne,"Clicks-and-mortar Villa in Port Rosettafurt",https://s3.amazonaws.com/similar-homes-module/city/city291.jpg,931,2.5,650
199,Private room • Port Walter,"Vertical House in New Kennamouth",https://s3.amazonaws.com/similar-homes-module/city/city320.jpg,272,3,400
200,Entire home • Littelburgh,"Ubiquitous Condo in Runolfsdottirfort",https://s3.amazonaws.com/similar-homes-module/city/city164.jpg,183,5,404
